"Type","Strain","Media","Outflow Well","name","sample","Description","generation","Population","Parent","Frequency"
"1_copy_ctrl","DGY500","glutamine-limited","D03","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","108","zero_copy","Single_cells",1.36476152588074
"1_copy_ctrl","DGY500","glutamine-limited","D03","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","108","one_copy","Single_cells",92.3805419263581
"1_copy_ctrl","DGY500","glutamine-limited","D03","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","108","two_copy","Single_cells",5.20045970914556
"1_copy_ctrl","DGY500","glutamine-limited","D03","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","108","multi_copy","Single_cells",0.0011050700614419
"Experimental","DGY2150","glutamine-limited","A10","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","108","zero_copy","Single_cells",0.362282713464287
"Experimental","DGY2150","glutamine-limited","A10","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","108","one_copy","Single_cells",1.16994050586632
"Experimental","DGY2150","glutamine-limited","A10","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","108","two_copy","Single_cells",39.6982085286004
"Experimental","DGY2150","glutamine-limited","A10","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","108","multi_copy","Single_cells",61.5182637019311
"Experimental","DGY2071","glutamine-limited","A04","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","108","zero_copy","Single_cells",1.24665484620552
"Experimental","DGY2071","glutamine-limited","A04","11_EE_GAP1_ArchMuts_2021_071221_g108_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","108","one_copy","Single_cells",1.87658998050725
